X,Y,Z,row_id,nearest_gt_idx,nearest_dist,gt_X,gt_Y,gt_Z
6050384.140553564,2136056.321274394,103.81668281114452,0,147,25.795840680200403,6050359.1773,2136049.8204,94.1111
6050324.924959501,2136013.6315443707,101.91254060740806,1,113,33.4193858517459,6050340.4167,2135984.0197,93.2758
6050374.123548918,2136022.632066212,102.35891817482916,2,147,31.025728853761997,6050359.1773,2136049.8204,94.1111
6050296.1801359765,2135764.845907766,94.09341075108152,3,170,50.26601132263455,6050342.2068,2135744.6415,89.5798
6050322.018251594,2135861.2684783665,101.3064455417246,4,151,63.68878860219481,6050304.3993,2135922.4717,92.2463
6050340.660141969,2135806.5974245397,95.94370812901543,5,170,61.97522679788011,6050342.2068,2135744.6415,89.5798
6050321.287777853,2135732.897137221,99.22471423164754,6,170,23.990321895596157,6050342.2068,2135744.6415,89.5798
6050205.123163503,2135796.662942172,94.751314374328,7,146,117.94891195788905,6050132.3065,2135889.4513,91.0658
6050244.534652694,2135809.990766276,89.70529534947077,8,170,117.51755171949596,6050342.2068,2135744.6415,89.5798
6050162.612393756,2135741.954357892,97.54256289222197,9,167,119.89475619899719,6050079.9606,2135828.8073,90.1955
6050099.3511801865,2135810.836346376,98.76743584514028,10,167,26.4376582571384,6050079.9606,2135828.8073,90.1955
6050155.70549327,2135846.7700657765,98.5794276102138,11,146,48.67443518825857,6050132.3065,2135889.4513,91.0658
6050147.124283849,2135864.398288623,98.986141676086,12,146,29.107045491682666,6050132.3065,2135889.4513,91.0658
6050180.034960888,2136009.1359715573,103.649717417425,13,165,90.39271053292377,6050113.7671,2136070.6129,93.0121
6050235.993950808,2136278.449437715,104.55943003880896,14,154,66.35355116150471,6050245.0791,2136212.7208,95.8842
6050228.5137173245,2136306.3704202217,107.3704401653904,15,131,71.49118497472551,6050294.3375,2136334.267,97.5692
6050184.220194795,2136203.673616272,105.36128567198942,16,154,61.527700071629916,6050245.0791,2136212.7208,95.8842
6050278.387842075,2136289.050973426,107.60274116182532,17,136,40.476855782887206,6050308.2382,2136261.7136,96.0086
6050178.506019422,2136122.3524362817,100.070906880781,18,153,53.114390252414104,6050224.8149,2136096.3404,94.2448
6050176.69257998,2136112.394544109,99.6073536334831,19,153,50.72960897872687,6050224.8149,2136096.3404,94.2448
6050192.192671895,2136197.974732706,103.18020980631778,20,154,54.90374102291976,6050245.0791,2136212.7208,95.8842
6050198.272816389,2136116.7539888243,107.8605435059701,21,153,33.48427707276704,6050224.8149,2136096.3404,94.2448
6050107.883503585,2136157.7822560123,105.75500179836942,22,155,47.53072940804869,6050094.535,2136203.4001,93.1269
6050170.79888447,2136238.85317589,106.58865297496274,23,154,78.74294564479399,6050245.0791,2136212.7208,95.8842
6050210.797836417,2136296.7969460017,106.22235404217874,24,154,90.79649420183578,6050245.0791,2136212.7208,95.8842
6050294.003864962,2136145.0973994625,97.99733944990484,25,150,35.22689279875842,6050320.2834,2136168.5563,95.1296
6050180.933526073,2136143.0557733458,97.8776940572362,26,153,64.09290978372321,6050224.8149,2136096.3404,94.2448
6050261.777899644,2136191.1932582976,104.987080953548,27,154,27.244907071012218,6050245.0791,2136212.7208,95.8842
6050170.624215774,2136357.0065207784,105.91627608942689,28,130,75.22272939285037,6050111.6755,2136310.2785,94.2581
6050166.3508684365,2136421.889777534,103.71296575892848,29,129,101.88439280347323,6050090.8742,2136353.4522,93.9766
6050152.160124269,2136280.1510461424,105.35801479490068,30,130,50.46452494748981,6050111.6755,2136310.2785,94.2581
6050075.513369813,2136109.389732502,99.1731479220684,31,165,54.47008915095129,6050113.7671,2136070.6129,93.0121
6050103.863479842,2136172.9931439743,103.07296304555824,32,155,31.80571506705612,6050094.535,2136203.4001,93.1269
6050173.507296673,2136356.590021124,105.8008144270226,33,130,77.25236610392157,6050111.6755,2136310.2785,94.2581
6050118.892786576,2136196.731211256,103.49791750648978,34,155,25.254224279918514,6050094.535,2136203.4001,93.1269
6050100.678945111,2136220.044411742,103.15437041685972,35,155,17.74207357917669,6050094.535,2136203.4001,93.1269
6050103.865366776,2136083.9726506243,101.16806385005307,36,165,16.62910874303777,6050113.7671,2136070.6129,93.0121
6050098.583462046,2135983.7235856224,97.68922748355077,37,164,32.48229164739417,6050095.4119,2135951.3965,91.8081
6050095.099976189,2136090.3991568023,100.36927340801375,38,165,27.202159281896535,6050113.7671,2136070.6129,93.0121
6050099.652543949,2136051.98750474,101.08456041149228,39,165,23.369339766341714,6050113.7671,2136070.6129,93.0121
6049871.07108154,2135989.5659436747,94.56045345099793,40,160,73.4898627291799,6049934.3777,2135952.2426,87.8221
6049802.604514537,2135988.2905154154,94.1638821693171,41,160,136.61487698189606,6049934.3777,2135952.2426,87.8221
6049944.066172176,2135980.278370416,98.17069800045635,42,159,14.22968715043509,6049946.1951,2135994.3479,88.3793
6049747.033122617,2135944.274521514,94.62957953450028,43,160,187.51394868027842,6049934.3777,2135952.2426,87.8221
6049668.853333869,2135922.314090005,92.22171313449287,44,160,267.20573481834276,6049934.3777,2135952.2426,87.8221
6049685.135224482,2135932.264309702,92.9290361423762,45,160,250.04188386265525,6049934.3777,2135952.2426,87.8221
6049843.380269314,2135962.782477389,96.13051413956308,46,160,91.60579352210017,6049934.3777,2135952.2426,87.8221
6049951.30231522,2136012.179589812,95.89916926950612,47,159,18.5486605679375,6049946.1951,2135994.3479,88.3793
6049827.342876748,2135933.2007844243,94.09261336999822,48,160,108.71542728141699,6049934.3777,2135952.2426,87.8221
6050054.312687763,2135931.718331779,99.9429797144534,49,164,45.56726402811552,6050095.4119,2135951.3965,91.8081
6050095.636765106,2135961.8668302847,99.84363783328632,50,164,10.472744654145695,6050095.4119,2135951.3965,91.8081
6050016.155488173,2135856.6055396507,98.3704331990674,51,166,59.50995203308555,6050074.5463,2135845.1187,90.1239
6050053.491013751,2135904.639674426,95.10696186721016,52,163,26.40267717686925,6050073.4476,2135887.3528,90.5437
6049999.99440348,2135767.000382772,95.62521519328504,53,168,38.43038948690668,6050031.9181,2135788.396,89.0559
6050010.052843407,2135680.4627017733,93.14638632064286,54,173,85.49060468259212,6049939.3728,2135728.5561,86.4275
6049994.222538168,2135857.393104087,97.0849168204879,55,168,78.62287042754726,6050031.9181,2135788.396,89.0559
6049970.626000375,2135859.917279615,93.3022200219919,56,168,94.19137388471358,6050031.9181,2135788.396,89.0559
6049968.880697218,2135838.180173476,93.81270240616148,57,168,80.32545099946365,6050031.9181,2135788.396,89.0559
6049947.979126473,2135816.513491109,92.45318540732733,58,114,56.17672849554787,6049938.9526,2135761.0667,86.1018
6049967.190051352,2135855.563749278,97.82291967951514,59,168,93.2803667708779,6050031.9181,2135788.396,89.0559
6049966.5488964645,2135850.577030324,97.8675734038418,60,168,90.21980549209005,6050031.9181,2135788.396,89.0559
6049926.872065613,2135772.86386238,91.07544771663515,61,114,16.88527024676818,6049938.9526,2135761.0667,86.1018
6049899.224423407,2135709.599949933,85.03018897750853,62,173,44.398510880961496,6049939.3728,2135728.5561,86.4275
6049951.6255769,2135707.402422712,95.8285078199846,63,173,24.446034536762046,6049939.3728,2135728.5561,86.4275
6049779.1733366605,2135604.6891357,86.13838995558217,64,179,32.88022814010101,6049811.8539,2135601.0711,85.3442
6049907.989592831,2135465.441629497,90.062093851493,65,120,26.115320296987306,6049933.6509,2135460.5932,81.7524
6049884.60014449,2135666.375031853,98.1270819538424,66,115,33.17639043175403,6049871.0935,2135636.0725,87.0484
6049904.836688691,2135723.2031672797,100.79111719975116,67,173,34.948488852460926,6049939.3728,2135728.5561,86.4275
6049906.044399693,2135522.0588888386,93.28303366694789,68,120,67.38063344620831,6049933.6509,2135460.5932,81.7524
6049679.777540864,2135458.231555884,88.1830761463051,69,182,48.59983979313327,6049706.4824,2135417.6262,79.3368
6049812.616564765,2135566.4283797843,93.9444485983032,70,179,34.65111428902584,6049811.8539,2135601.0711,85.3442
6049663.132373125,2135540.2282376825,91.85170768460624,71,178,92.47564058018344,6049740.3096,2135591.1735,82.1495
6049619.478830246,2135593.368810863,88.13320516376903,72,177,112.49741478626397,6049725.7614,2135630.2427,82.1658
