tag,threshold_ft,n_predictions,n_groundtruth,TP,FP,FN,Precision,Recall,F1,MedianDist,P95Dist,Duplicates,DupRate
ALL,0.5,124,190,0,124,190,0.0,0.0,0.0,,,0,0.0
ALL,1.0,124,190,0,124,190,0.0,0.0,0.0,,,0,0.0
