X,Y,Z,cluster_size,eps_m_used
6051063.048226029,2138694.762713869,123.97250000000001,1852,0.3
6050933.517615163,2138288.0802551834,118.27119999999998,1852,0.3
6050803.415032736,2138465.629681639,116.95499999999997,1852,0.3
6050841.914315441,2138004.34150869,116.3379,1852,0.3
6050720.923082874,2137524.527185961,111.66080000000002,1852,0.3
6050381.267285246,2137395.0290467674,106.00790000000005,1852,0.3
6050636.321349881,2137379.8348720814,109.57200000000002,1852,0.3
6050376.069626226,2137675.7795296945,108.19520000000001,1852,0.3
6050387.988738063,2137017.54942527,103.56919999999998,1852,0.3
6050494.370285208,2137019.6207296974,105.79340000000002,1852,0.3
6050403.700516043,2136709.8794550705,102.346,1852,0.3
6050275.426590065,2136664.180873919,99.86010000000002,1852,0.3
6050118.580065879,2136357.3291776427,94.41910000000001,1852,0.3
6050347.599571171,2136393.885920571,97.98260000000002,1852,0.3
6050339.798325382,2135997.2245600424,93.1939,1852,0.3
6050041.909417696,2135949.8078755923,90.69540000000003,1852,0.3
6050050.977000646,2135678.499981153,86.80880000000002,1852,0.3
6050358.187117223,2135722.1242996776,89.65810000000002,1852,0.3
6049888.16023342,2135665.0199805065,84.67409999999998,1852,0.3
6049728.2230754355,2135629.190463878,82.1795,1852,0.3
6049614.802665278,2135289.2466656617,76.0937,1852,0.3
