tag,threshold_ft,n_predictions,n_groundtruth,TP,FP,FN,Precision,Recall,F1,MedianDist,P95Dist,Duplicates,DupRate
ALL,0.5,15,29,8,7,21,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.1428188739675984,0.22609517730827594,0,0.0
ALL,1.0,15,29,8,7,21,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.1428188739675984,0.22609517730827594,0,0.0
