tag,threshold_ft,n_predictions,n_groundtruth,TP,FP,FN,Precision,Recall,F1,MedianDist,P95Dist,Duplicates,DupRate
ALL,0.5,12,24,0,12,24,0.0,0.0,0.0,,,0,0.0
ALL,1.0,12,24,1,11,23,0.08333333333333333,0.041666666666666664,0.05555555555555555,0.7028543359150471,0.7028543359150471,0,0.0
