tag,threshold_ft,n_predictions,n_groundtruth,TP,FP,FN,Precision,Recall,F1,MedianDist,P95Dist,Duplicates,DupRate
ALL,0.5,26,21,17,9,4,0.6538461538461539,0.8095238095238095,0.7234042553191489,0.32169977940525674,0.4164221933235335,0,0.0
ALL,1.0,26,21,17,9,4,0.6538461538461539,0.8095238095238095,0.7234042553191489,0.32169977940525674,0.4164221933235335,0,0.0
