tag,threshold_ft,n_predictions,n_groundtruth,TP,FP,FN,Precision,Recall,F1,MedianDist,P95Dist,Duplicates,DupRate
ALL,0.5,243,121,82,161,39,0.3374485596707819,0.6776859504132231,0.45054945054945056,0.17970968184419495,0.3873575539123559,1,0.00411522633744856
ALL,1.0,243,121,83,160,38,0.34156378600823045,0.6859504132231405,0.45604395604395603,0.18091410420521403,0.3912957176960818,1,0.00411522633744856
