feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
112,manhole,6050046.520419413,2137654.8201879086,101.56615969440267,4,3,0.055,12.34,0.94,0.645,4
113,manhole,6050384.091547178,2137384.490597323,105.91027446388703,8,299,0.122,76.49,0.96,0.691,8
114,manhole,6050414.906360265,2137383.4487359803,106.24184998174059,4,6,0.137,92.23,0.96,0.638,4
115,manhole,6050393.135137709,2137363.1664238703,105.72330834861394,8,306,0.134,85.54,0.96,0.684,8
116,manhole,6050392.04633926,2137354.954599066,105.50450942297094,4,3,0.136,25.68,0.95,0.693,4
117,manhole,6050380.711220808,2137355.543222286,105.70982560830832,4,3,0.044,29.73,0.98,0.714,4
118,manhole,6050419.828675954,2137370.130851058,106.25589413602482,8,201,0.178,91.91,0.94,0.691,8
119,manhole,6050391.390512072,2137350.301086891,105.6062398013645,5,4,0.035,30.84,0.99,0.708,5
120,manhole,6050398.599602896,2137305.2910667923,105.68769163878517,4,4,0.106,28.43,0.96,0.591,4
121,manhole,6050438.497605805,2137299.4903801517,106.54826370958286,8,25,0.175,77.12,0.95,0.583,8
122,manhole,6050435.955725129,2137258.918631606,105.97569142734616,8,79,0.131,70.66,0.96,0.776,8
123,manhole,6050403.774128414,2137254.3820134364,105.21448091257929,8,252,0.163,51.86,0.95,0.687,8
124,manhole,6050402.942355994,2137268.839426664,105.29119388051467,8,21,0.085,40.67,0.97,0.75,8
125,manhole,6050403.644568556,2137254.4900743943,105.17652801723963,7,18,0.171,29.87,0.94,0.668,7
126,manhole,6050404.136709352,2137195.061013213,104.9083503238316,8,136,0.148,43.22,0.95,0.654,8
127,manhole,6050404.460017878,2137220.855128577,105.0392104542092,7,126,0.097,39.56,0.97,0.622,7
128,manhole,6050407.08090852,2137092.454607314,103.76572961236998,8,207,0.106,59.43,0.97,0.666,8
129,manhole,6050454.69745575,2137153.905745154,106.02947403403257,8,63,0.132,88.26,0.96,0.622,8
