feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
91,traffic sign,6049846.847056535,2135729.761673358,84.91641719319074,4,3,0.311,86.27,0.91,0.672,2
92,traffic sign,6049787.400841557,2135651.100526516,92.59739695773422,4,3,0.28,38.4,0.91,0.722,2
93,traffic sign,6050011.074637087,2135534.6149503286,87.79913486229636,4,3,0.256,23.26,0.92,0.785,3
94,traffic sign,6050027.605521098,2135520.5877246205,85.57260244086223,4,4,0.234,18.57,0.92,0.819,3
95,traffic sign,6049925.704108141,2135503.1418963056,91.76732535209239,4,3,0.328,83.35,0.9,0.876,3
96,traffic sign,6049966.382073628,2135537.754573289,85.70951131499602,4,3,0.302,66.96,0.91,0.647,3
97,traffic sign,6049951.124504264,2135535.8503808663,92.70941498415502,5,4,0.316,44.39,0.91,0.708,3
98,traffic sign,6049954.447899606,2135626.216671553,95.71035177516484,4,3,0.303,103.77,0.91,0.836,3
99,traffic sign,6050020.837142909,2135816.180337924,99.12149777346825,4,4,0.328,31.63,0.9,0.728,2
100,traffic sign,6050151.457641497,2135734.409719496,97.376098982786,4,3,0.231,85.14,0.93,0.708,4
101,traffic sign,6050056.234621668,2135846.243039651,98.24707814684437,5,4,0.295,68.91,0.91,0.756,3
102,traffic sign,6050042.707574963,2135647.4188303775,89.99524223592557,5,4,0.284,46.28,0.91,0.616,4
103,traffic sign,6050078.995701853,2135837.214242979,97.08108517370442,4,3,0.183,105.6,0.94,0.623,4
104,traffic sign,6050067.847744489,2135802.578521642,96.51799955573168,5,4,0.315,77.93,0.91,0.713,4
105,traffic sign,6050172.367632785,2135800.6009905115,94.15804401937218,4,3,0.333,60.82,0.9,0.621,3
106,traffic sign,6050210.664475533,2135839.4889134467,95.38064329947106,5,4,0.307,83.06,0.91,0.786,3
107,traffic sign,6050277.093859722,2135920.916036957,98.12170165132018,4,3,0.26,97.81,0.92,0.753,4
108,traffic sign,6050251.730736847,2136263.758590259,106.35039973335714,4,3,0.319,82.63,0.9,0.59,3
109,traffic sign,6050216.258582141,2136127.4678241024,104.02972939335493,4,3,0.281,76.15,0.91,0.663,2
110,traffic sign,6050229.491031194,2136145.886589749,104.02793622522402,4,4,0.139,11.17,0.9,0.702,4
111,traffic sign,6050229.488296466,2136148.6632625097,104.16876575026676,4,3,0.297,76.71,0.91,0.705,3
112,traffic sign,6050230.72458499,2136172.0586402994,104.61754220759016,5,6,0.165,12.65,0.91,0.605,5
113,traffic sign,6050211.634770898,2136119.967073594,104.26997786935628,4,4,0.326,98.65,0.9,0.689,2
114,traffic sign,6050280.425247222,2136321.651244744,107.00284735161594,4,5,0.296,81.27,0.91,0.764,3
115,traffic sign,6050254.529697993,2136295.493398064,111.5324894862824,8,35,0.292,39.46,0.91,0.712,6
116,traffic sign,6050234.984431965,2136307.9701385633,103.92949839549351,4,3,0.318,106.76,0.9,0.596,2
117,traffic sign,6050297.297031368,2136385.385141743,108.90283960191853,4,100,0.287,82.1,0.91,0.692,3
118,traffic sign,6050300.516799365,2136391.6951060477,108.73280563027497,8,32,0.157,13.58,0.92,0.616,7
119,traffic sign,6050294.158507229,2136378.8885788396,108.53921503978425,8,16,0.16,34.9,0.95,0.575,8
120,traffic sign,6050304.740145882,2136400.153571,108.73488230104255,8,32,0.302,63.22,0.91,0.584,5
121,traffic sign,6050302.545615683,2136395.802124075,108.97179078238962,8,16,0.3,38.94,0.91,0.602,6
122,traffic sign,6050273.280541553,2136336.8498858125,108.17980948644895,8,8,0.319,37.84,0.9,0.586,7
123,traffic sign,6050271.226867116,2136338.5505764727,108.51209631058497,4,3,0.33,81.9,0.9,0.7,3
124,traffic sign,6050288.329182217,2136384.048683048,108.20401427037719,4,3,0.319,82.81,0.9,0.73,3
